ProductID,ProductName,CategoryID,SupplierID,UnitPrice,StockQuantity,Unit
1,Horton Blender,4,8,1855.17,125,short
2,Mcclure T-Shirt,5,18,1693.37,456,bit
3,Gilbert-Crosby SSD Drive,3,3,1057.69,15,far
4,Vaughn Diapers Pack,7,18,1265.86,13,life
5,Sampson-Foley Baby Monitor,7,19,1051.7,229,bit
6,Richardson Yoga Mat,9,23,1898.22,81,ask
7,Hill-Donaldson Car Charger,14,25,698.29,110,thus
8,Davis-Lewis Board Game,11,12,236.4,49,purpose
9,Maddox Pasta Pack,12,24,664.98,22,car
10,Harris First Aid Kit,15,13,316.44,472,peace
11,Li SSD Drive,3,20,736.48,321,get
12,Kramer Pasta Pack,12,2,484.76,35,able
13,Garrison-Thomas Perfume,8,8,2463.13,437,case
14,King Air Fryer,4,27,698.54,325,agree
15,Smith Rice Bag,12,22,928.6,107,per
16,Smith-Baker Yoga Mat,9,18,1524.78,87,card
17,Fisher Face Cream,8,30,1158.34,138,list
18,Palmer-Rodriguez Sandals,18,25,1713.11,431,most
19,Dougherty Phone Case,2,11,2055.4,412,short
20,Boyd Dining Table,13,19,170.14,467,ask
21,Boone-Simmons Puzzle,11,29,1640.32,202,box
22,Joseph-Wallace Blood Pressure Monitor,15,24,665.88,126,way
23,Morris Wallet,18,14,660.54,299,attorney
24,Hill Tool Kit,19,17,908.18,70,pay
25,Joseph Dog Food,16,4,1890.68,440,financial
26,Wagner-Jordan Jeans,5,20,1981.24,216,student
27,Wilson Monitor,3,17,957.14,239,ok
28,Glenn Running Shoes,9,22,2152.65,5,job
29,Wilcox-Ross Washing Machine,4,21,1878.44,393,show
30,Edwards Board Game,11,15,737.28,80,reduce
31,Brooks-Hernandez Headphones,1,6,2429.86,390,wind
32,Jones-Decker Wrist Watch,17,27,2176.94,152,better
33,Davis-Rodgers Ring,17,25,501.28,191,task
34,Hawkins Heels,6,17,2383.98,472,or
35,Rivera Router,1,4,813.77,9,reduce
36,Parrish-Griffith Coffee Beans,12,29,602.43,123,field
37,Edwards Garden Hose,19,27,218.71,248,clear
38,Olson SSD Drive,3,22,1915.76,65,only
39,Wilson-Ramirez Aquarium Filter,16,28,416.99,270,draw
40,Bruce-Villegas Whiteboard,20,18,2411.09,475,tell
41,Austin Baby Bottle,7,21,1000.49,343,woman
42,Gallegos Honey Jar,12,4,2249.54,231,scientist
43,Dorsey-Bell Face Cream,8,19,164.74,10,course
44,Knight Sandals,18,3,1473.16,3,available
45,Figueroa Phone Case,2,28,173.16,16,benefit
46,Moreno Board Game,11,22,1287.82,142,coach
47,Collins-Nguyen Cat Litter,16,30,1350.39,370,year
48,Carlson Flower Pot,19,16,1184.31,401,somebody
49,Williams Tire Inflator,14,14,240.34,337,language
50,Lawson-Perry Honey Jar,12,24,1030.7,442,dinner
51,Wilson Smartphone,2,11,156.23,372,resource
52,Tucker Microwave,4,15,483.02,274,indicate
53,Brown Sneakers,5,8,462.8,236,speak
54,Duran Monitor,3,18,2021.02,438,generation
55,Smith Blender,4,27,1632.1,276,law
56,Anderson Smart TV,1,8,2316.29,434,score
57,Mason Scarf,6,28,1216.67,109,sure
58,Jones-Hensley Office Chair,13,13,415.77,1,and
59,Smith-Morse Bicycle,9,24,716.7,356,training
60,Johnston-Berry Travel Bag,18,7,391.22,151,security
61,Butler Power Bank,2,24,1840.66,31,garden
62,Solis Board Game,11,17,130.11,244,magazine
63,Gillespie Necklace,17,3,146.91,260,either
64,Chapman-Warren Dress,6,28,1489.61,345,individual
65,Reese-Walker Lipstick,8,19,304.12,455,start
66,Jones Hair Dryer,8,3,1488.33,317,build
67,Hicks Dash Cam,14,30,1415.24,161,short
68,Briggs Dumbbell Set,9,8,1675.97,160,decade
69,Morrison Bicycle,9,10,331.54,330,bag
70,Bean Face Mask,15,3,2322.9,479,minute
71,Webster-Wolf Camera,1,4,1554.79,288,list
72,Glass SSD Drive,3,5,536.82,135,probably
73,Lin-Burton Olive Oil,12,10,2198.78,189,city
74,Jones-Ramos Scarf,6,10,2085.19,360,floor
