shipment_id,customer_id,shipper_id,service_id,weight_kg,shipment_date,delivery_date,status,shipping_cost
2001,249,18,SEA7,17.16,2023-01-14,2023-01-23,Delivered,620.1624
2002,351,12,OVE3,61.16,2022-10-28,2022-11-10,Delivered,2749.142
2003,272,15,PRE2,13.62,2023-08-28,2023-09-20,Delivered,117.40439999999998
2004,287,6,STA8,19.37,2023-09-22,2023-10-21,Delivered,719.2081000000001
2005,452,5,SEA7,46.33,2023-11-24,2023-11-28,Delivered,1674.3662
2006,143,6,PRE10,56.76,2022-05-12,2022-05-18,Delivered,1178.3376
2007,412,2,FRE5,89.74,2023-07-11,,Pending,1635.0627999999997
2008,580,8,ECO4,33.27,2022-03-07,2022-04-04,Delivered,1262.5965
2009,239,6,EXP9,70.29,2023-07-10,2023-07-30,Delivered,1549.8945
2010,222,13,OVE3,75.08,2022-08-22,2022-08-25,Delivered,3374.846
2011,537,11,ECO4,2.72,2022-09-02,2022-09-19,Delivered,103.22400000000002
2012,86,16,EXP9,26.55,2022-02-07,2022-02-22,Delivered,585.4275
2013,90,2,PRE10,72.12,2022-08-15,2022-08-30,Delivered,1497.2112000000002
2014,338,17,EXP1,63.08,2023-07-11,,Pending,1738.4848
2015,114,14,FRE5,41.44,2022-03-18,2022-04-17,Delivered,755.0367999999999
2016,96,9,EXP1,22.09,2022-11-10,2022-11-26,Delivered,608.8004
2017,182,14,SEA7,33.12,2022-07-20,2022-08-19,Delivered,1196.9568
2018,442,2,PRE2,24.4,2023-02-23,2023-03-10,Delivered,210.32799999999997
2019,352,11,STA8,8.3,2023-06-30,2023-07-11,Delivered,308.17900000000003
2020,335,18,EXP1,55.36,2023-06-24,2023-07-16,Delivered,1525.7215999999999
2021,267,16,EXP9,80.4,2022-05-14,2022-05-24,Delivered,1772.8200000000002
2022,505,20,OVE11,90.9,2022-04-18,2022-04-19,Delivered,1236.24
2023,427,1,FRE5,22.74,2023-10-06,2023-10-17,Delivered,414.3228
2024,354,4,STA8,65.59,2023-01-21,,Pending,2435.3567000000003
2025,433,3,ECO12,49.82,2023-02-25,2023-02-28,Delivered,1692.8836
2026,438,8,EXP1,20.84,2022-03-02,2022-03-29,Delivered,574.3503999999999
2027,112,2,STA8,26.66,2023-11-27,,Pending,989.8858
2028,204,5,PRE10,78.17,2023-06-16,2023-07-05,Delivered,1622.8092000000001
2029,259,11,ECO4,59.48,2023-02-12,2023-02-15,Delivered,2257.266
2030,484,12,OVE11,76.55,2023-09-26,2023-10-10,Delivered,1041.08
2031,205,12,OVE11,7.47,2023-08-25,2023-09-04,Delivered,101.592
2032,408,1,PRE2,45.5,2022-04-08,2022-04-17,Delivered,392.21
2033,506,2,ECO4,65.48,2022-06-22,2022-07-22,Delivered,2484.9660000000003
2034,364,1,STA8,44.96,2023-08-11,2023-08-23,Delivered,1669.3648
2035,189,13,PRE2,32.99,2023-05-18,2023-05-28,Delivered,284.3738
2036,202,2,EXP9,35.21,2022-06-23,2022-06-30,Delivered,776.3805000000001
2037,463,13,AIR6,31.48,2022-01-28,2022-02-13,Delivered,266.6356
2038,519,11,EXP1,66.14,2023-12-29,2024-01-02,Delivered,1822.8183999999999
2039,496,18,PRE10,83.1,2022-07-19,2022-07-20,Delivered,1725.156
2040,120,5,AIR6,38.51,2022-06-15,2022-06-22,Delivered,326.1797
2041,278,18,EXP1,13.66,2023-02-08,2023-02-20,Delivered,376.4696
2042,594,19,PRE2,86.23,2023-08-06,2023-08-22,Delivered,743.3026
2043,370,20,ECO12,48.08,2022-05-10,2022-05-19,Delivered,1633.7583999999997
2044,17,11,ECO12,88.75,2022-03-26,2022-04-05,Delivered,3015.725
2045,545,11,SEA7,15.45,2022-01-09,2022-02-05,Delivered,558.3629999999999
2046,281,2,EXP1,59.28,2023-02-15,2023-02-22,Delivered,1633.7567999999999
2047,589,16,AIR6,50.05,2022-02-23,2022-03-22,Delivered,423.9235
2048,310,10,PRE10,39.47,2022-03-11,2022-04-09,Delivered,819.3972
2049,533,16,OVE3,63.62,2023-08-09,2023-08-19,Delivered,2859.719
2050,197,18,OVE3,61.74,2022-07-04,2022-07-31,Delivered,2775.213
2051,151,4,STA8,20.3,2022-07-02,2022-07-11,Delivered,753.739
2052,411,8,EXP1,30.75,2022-07-31,2022-08-20,Delivered,847.4699999999999
2053,38,11,PRE10,50.74,2022-03-28,2022-04-01,Delivered,1053.3624000000002
2054,340,3,FRE5,41.83,2022-06-28,,Pending,762.1425999999999
2055,202,2,STA8,72.75,2023-10-21,2023-11-17,Delivered,2701.2075
2056,441,12,AIR6,48.98,2022-09-13,2022-09-16,Delivered,414.8606
2057,153,12,OVE11,20.49,2022-11-24,2022-12-06,Delivered,278.664
2058,390,3,SEA7,5.15,2023-12-20,2024-01-09,Delivered,186.121
2059,89,10,SEA7,56.87,2022-01-03,2022-01-22,Delivered,2055.2817999999997
2060,80,1,STA8,99.49,2022-03-24,2022-04-07,Delivered,3694.0637
2061,449,8,FRE5,80.7,2022-02-23,2022-03-15,Delivered,1470.354
2062,253,9,ECO12,40.04,2022-10-30,2022-11-18,Delivered,1360.5592
2063,574,7,SEA7,31.35,2023-10-24,2023-11-19,Delivered,1132.989
